"","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",361.55777512,497.95723863,252.932528215,417.616067005,241.88548447,142.12154365,479.13842535,477.43372611,308.918561195,418.67614858,398.29207611,147.96088831,588.435285355,175.046473385,281.099576995,389.894869355,231.19604594,231.19604594,380.29125823,394.44071416,473.029106505,654.50247692,308.09800708,268.45391159,229.78621381,415.03479961,340.0484631,520.79974034,145.863753595,498.03142153,421.022014195,245.492023015,209.132643195,232.18973977,654.507693525,141.885169955
"2",324.781681785,532.482178475,539.63819027,612.76253599,522.131006035,592.334132295,530.589998815,419.35414855,599.522137945,398.635717485,589.44411329,892.149241725,460.50863962,460.50863962,658.457952785,735.082541285,498.694406405,579.610773195,584.15983127,705.787000015,370.661504575,663.025834275,617.43050489,589.44093969,550.832727075,537.307716615,550.29874904,480.773761595,625.004717825,393.16274511,482.59868077,730.876965905,621.7487034,659.03616287,573.843627935,667.293334525
"3",394.84832341,431.617514165,402.465776645,356.663548375,694.968157945,567.869365605,189.808513455,567.32539073,321.99202788,310.457082805,192.17710998,444.673744235,453.94281825,396.085174505,279.08471786,409.987526005,322.94509963,376.330783945,323.95069446,527.23179447,432.70905405,421.414231485,317.59492574,346.21429186,345.546784605,308.807842225,320.292822935,326.15297451,627.459775115,435.489623525,404.91434789,240.896967575,300.70054383,442.47386422,250.334024205,520.250171995
"4",569.031022215,405.218239925,405.218239925,471.75210937,326.41142456,396.427724955,421.76969452,436.675796195,531.18891664,355.685682875,494.88344835,407.338998125,467.09437533,550.410043225,657.231991105,653.818030575,509.687875815,411.975548385,525.71088634,385.4749768,564.35577387,410.676593905,513.723861945,516.25478811,462.220062925,265.30633511,449.03619463,292.73595826,461.49352671,404.17001968,289.052380575,267.731540725,661.046896325,346.10900768,433.837566375,413.244988385
"5",408.188888205,283.026110875,286.467443705,524.115815145,332.7789356,524.115815145,370.825460685,316.12237534,539.98609617,489.24408016,180.41174171,439.21493405,188.21816299,447.259910875,557.85163935,368.263334065,339.080891965,368.263334065,419.468100625,269.53745797,202.251088295,402.35618827,317.2584448,408.4216916,313.45948692,253.6583107,313.45948692,442.934651105,471.610507305,378.15602048,396.36169424,517.47495797,455.903051795,402.769291815,443.828614555,342.054555165
"6",752.873028825,898.076931475,790.513313275,686.29115868,614.638788145,730.19359065,759.35183405,758.244902205,631.29889887,612.438927965,717.831486405,717.831486405,624.68440241,756.431269145,490.718118185,751.357753835,745.620916455,368.67544586,604.974739775,616.068613955,713.367421305,830.43468223,625.762097465,593.081872125,805.27346902,634.780318235,425.817323795,625.79694756,498.168699565,803.38402659,502.192308655,628.54845876,775.790189475,704.35429813,653.125075015,531.40626857
"7",688.34927795,380.441151325,521.689558275,361.882533575,249.0431029,238.179969275,245.45602249,588.53686039,471.54919732,378.757318505,251.01402751,318.81934029,394.87787756,518.843791155,230.62995504,766.7889673,478.66107624,296.16586613,239.70089724,587.51801578,543.325893635,702.842018225,393.74795695,527.875222035,234.437461805,520.31140264,392.49486099,493.10666872,778.36328485,251.094577445,387.082306025,468.319484105,599.130357025,319.241528265,607.87229608,611.40895592
"8",533.061717505,415.13778293,187.600917625,302.75830607,434.213241275,625.24969991,408.096496775,356.17796774,362.191205845,313.10372636,187.31186217,176.211779635,364.397968605,442.01714351,303.64826285,580.869740315,184.918194205,352.99361717,207.72037136,549.352282345,335.38707942,487.510560665,399.03120755,209.787793245,297.225273315,340.950816755,465.478239365,616.321787895,280.8290871,424.963427045,422.69686176,246.11077584,271.301325015,313.41180358,434.911036575,509.16679053
"9",509.62509804,583.44362909,765.793111455,504.46192853,373.948878135,477.821877225,482.030665875,583.16236879,345.057256805,299.93241362,377.840148105,468.505417395,240.613644435,391.15282489,495.02332477,371.96166899,427.738819585,437.750813525,361.38406019,475.40282046,297.541363875,508.978853905,431.63887646,365.88041667,345.355416525,457.961885125,345.355416525,549.7889102,367.267696405,419.48974061,524.123788815,245.515507655,437.22540421,306.010869205,216.51751122,357.974007155
"10",410.62397165,253.991399855,377.56949953,360.545337215,441.180681725,334.407369265,255.43386056,148.255695915,235.823650615,365.77497381,449.309977135,297.99504983,283.468986755,448.7264116,333.117895915,331.578977605,267.72461831,144.008903405,263.070910775,322.66935346,199.884177745,395.64957807,233.85207145,286.70484882,249.457079185,380.58993366,156.22807664,173.09663338,251.21908174,354.668782095,376.328126055,399.493462225,609.164367815,150.486101995,395.342909135,309.688238535
"11",791.510180705,366.243139315,317.29371143,402.537500005,509.655663775,494.98734408,528.68046353,461.092165485,528.68046353,321.30815675,438.04891374,457.61316599,330.224842155,395.0136283,261.32477622,653.31368603,510.2426806,502.3519209,319.292662895,330.12251339,382.82867044,501.640141925,621.205640935,501.640141925,400.89085781,616.99373819,494.24492003,583.81208405,378.54395341,463.63050994,501.036681885,406.24095236,540.06559485,401.434197965,327.007724165,622.063187325
"12",314.8401616,484.22959381,329.73537386,213.749894,394.399873895,352.38254049,135.71198241,288.17803394,215.986944805,601.38894864,122.716506945,601.38894864,226.49669807,330.46411176,406.56838854,212.708258975,376.23150977,315.922696395,485.89216351,390.2952785,110.41616889,361.08542443,270.59823377,349.36202702,360.992100755,214.72906861,360.992100755,214.7634625,427.84150538,202.36012129,310.954068565,360.22752101,389.35771772,315.78482331,602.922967705,132.933594785
"13",444.66555238,395.656302135,417.57506806,191.63494009,544.609019785,445.94137925,460.310547475,447.466075865,543.415389155,292.98623629,518.024843675,460.71805755,196.07877349,556.75916722,445.258916405,293.267913125,266.909260965,543.95738053,343.894330755,373.837683125,493.920161575,306.078665235,266.74496766,445.22081337,306.44432346,474.988011105,543.713707555,344.07679292,652.846432935,474.09478155,583.20739424,493.779293405,712.536493485,474.1747166,373.87134312,329.69463277
"14",204.72096233,340.83809445,103.140512375,309.869173405,279.09356427,153.71672762,319.36988055,450.42381156,173.52340324,182.49774899,344.529130095,334.317120015,173.44406324,438.15677647,203.39590499,436.47611725,298.817587445,212.881973905,192.181731535,179.56895256,318.399651525,251.46003732,270.406330145,91.265297875,182.824689295,177.764622115,331.797321285,236.48286684,236.48286684,252.738938615,89.79336236,277.028125885,330.51647616,388.40714518,252.162533515,384.06700916
"15",372.36896088,462.17025724,239.800211085,159.458900615,338.07956166,489.190862855,421.45372297,255.6223724,455.77751608,302.880509505,433.42005946,338.90061165,420.38072881,151.174614515,642.433692655,256.724464505,161.56452471,422.617343245,209.05153788,371.69623702,477.68801081,242.71192958,385.66967716,260.866964585,279.96225793,147.02150271,517.00391639,258.32080514,225.359736035,317.299404075,350.931193705,643.09667753,643.09667753,201.777031795,409.545324515,409.545324515
